Name,StopID,CleverID,Zone_,Direction,Routes_Sor,Mode,Shelter_Pu,Latitude,Longitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
BON AIR STATION,X70017,99904,1,Inbound,BLUE,Rail,Port Authority Station,40.409018,-80.003438,33,6.19488E-05,-80.00349315,40.40898978
DENISE STATION,X70003,99916,1,Inbound,BLUE,Rail,Port Authority Station,40.398364,-79.998536,33,2.69987E-05,-79.99855926,40.39835028
KILLARNEY STATION,X70009,99910,1,Inbound,BLUE,Rail,Port Authority Station,40.374028,-80.007532,33,9.5936E-05,-80.0075951,40.37410026
MCNEILLY STATION,X70007,99912,1,Inbound,BLUE,Rail,Port Authority Station,40.37799,-80.004197,33,0.000172896,-80.00430951,40.37812128
MEMORIAL HALL STATION,X70011,99908,1,Inbound,BLUE,Rail,Port Authority Station,40.366387,-80.016041,33,0.000284545,-80.01613371,40.36665602
SOUTH BANK STATION,X70005,99914,1,Inbound,BLUE,Rail,Port Authority Station,40.392713,-79.998087,33,0.000171005,-79.99825528,40.39268259
WILLOW STATION,X70013,99906,1,Inbound,BLUE,Rail,Port Authority Station,40.365524,-80.02597,33,0.000101961,-80.02602198,40.36561172
LYTLE STATION,X14240,99958,2,Inbound,BLUE LIBRARY,Rail,Port Authority Station,40.333418,-80.030958,33,2.50003E-05,-80.03098293,40.33341611
WEST LIBRARY,X14570,99921,2,Inbound,BLUE LIBRARY,Rail,Port Authority Station,40.294272,-80.029633,33,0.00021156,-80.02983447,40.29420744
SOUTH HILLS VILLAGE STATION,X14472,99939,2,Inbound,"BLUE SOUTH HILLS VILLAGE, RED",Rail,Port Authority Station,40.339268,-80.053106,32,7.57784E-05,-80.0531191,40.33934264
FIRST AVENUE STATION,P02956,99997,Free,Inbound,"BLUE, RED",Rail,Port Authority Station,40.435234,-79.996668,32,4.55817E-05,-79.99670608,40.43525905
STATION SQUARE STATION,X14497,99929,1,Inbound,"BLUE, RED",Rail,Port Authority Station,40.431597,-80.003189,32,1.85259E-06,-80.00318819,40.43159867
STEEL PLAZA STATION,P03510,99995,Free,Inbound,"BLUE, RED",Rail,Port Authority Station,40.439794,-79.995653,3,0.000676605,-79.99621304,40.44017367
WASHINGTON JUNCTION,X14540,99925,1A,Inbound,"BLUE, RED",Rail,Port Authority Station,40.353591,-80.02794,32,0.00017374,-80.02810463,40.35353548
WOOD STREET STATION,P70021,99992,Free,Inbound,"BLUE, RED",Rail,Port Authority Station,40.442355,-79.999515,82,0.000148845,-79.99938854,40.4422765
WEST BUSWAY AT CARNEGIE STATION,W26140,15276,1,Inbound,G2,Bus,Port Authority Station,40.405884,-80.0902,29,7.22635E-05,-80.09025925,40.40592537
EAST BUSWAY AT EAST LIBERTY STATION C,E17302,8161,1,Inbound,"P1, P13, P17, P2, P3, P67, P68, P69, P71",Bus,Port Authority Station,40.459374,-79.923171,91,3.12666E-06,-79.92317028,40.45937096
EAST BUSWAY AT NEGLEY STATION C,E17304,8162,1,Inbound,"P1, P13, P17, P2, P3, P67, P68, P69, P71",Bus,Port Authority Station,40.456634,-79.932696,17,3.70151E-05,-79.93267845,40.45660141
EAST BUSWAY AT HERRON STATION C,E17306,8163,1,Inbound,"P1, P13, P17, P2, P67, P68, P69, P71",Bus,Port Authority Station,40.459333,-79.966598,17,1.73934E-06,-79.96659844,40.45933468
EAST BUSWAY AT WILKINSBURG STATION C,E17297,15880,1,Inbound,"P1, P2, P3",Bus,Port Authority Station,40.446426,-79.888392,24,6.40189E-05,-79.88844489,40.44638994
EAST BUSWAY AT HOMEWOOD STATION C,E17299,8154,1,Inbound,"P1, P2, P3, P67, P68, P69, P71",Bus,Port Authority Station,40.452978,-79.899254,17,1.58481E-05,-79.89924836,40.45299281
EAST BUSWAY AT HAMNETT STATION C,E17257,15878,1,Inbound,"P1, P3",Bus,Port Authority Station,40.437518,-79.885844,26,6.60276E-05,-79.88577933,40.43753131
EAST BUSWAY AT ROSLYN STATION C,E17291,15879,1A,Inbound,"P1, P3",Bus,Port Authority Station,40.419173,-79.886408,26,9.33051E-05,-79.8863346,40.4192306
CASTLE SHANNON STATION,X13920,99976,1,Inbound,RED,Rail,Port Authority Station,40.368163,-80.030239,32,4.53096E-05,-80.03020859,40.36819659
DORMONT JUNCTION,X14010,99970,1,Inbound,RED,Rail,Port Authority Station,40.391612,-80.040771,32,0.000175941,-80.04093539,40.3916747
FALLOWFIELD STATION,X14045,99968,1,Inbound,RED,Rail,Port Authority Station,40.411009,-80.023503,32,0.000132755,-80.02350696,40.4111417
MOUNT LEBANON STATION,X14300,99954,1,Inbound,RED,Rail,Port Authority Station,40.382342,-80.043263,32,4.08404E-05,-80.04330368,40.38234566
POTOMAC STATION,X14405,99947,1,Inbound,RED,Rail,Port Authority Station,40.397091,-80.036525,32,0.000106781,-80.03657484,40.39718544
